host,plant,jun_16,jul_16,aug_16,sep_16,oct_16,nov_16,dic_16,jan_17,feb_17,mar_17,apr_17,jun_17,jul_17,aug_17,sep_17,oct_17,nov_17,dic_17,Jan_18,feb_18,mar_18,apr_18,may_18,jun_18,
1,MB1,1,,1,1,1,1,1,,,,,,,1,1,1,1,1,,,,,,,
1,MB2,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,,,,
1,MB3,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,
1,MB4,,,,,1,1,1,1,1,,,,,,1,1,1,1,,,,,,,
1,MB5,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
1,MB6,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB7,,,,,,,,,,,,,,,,1,1,1,,,,,,,
1,MB8,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB9,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
1,MB10,,,,,,,,,,,,,,,1,1,1,1,,,,,,,
,MB11,,1,1,1,,,,,,,,,,,,,,,,,,,,,
1,MB12,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,
1,MB13,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,
1,MB14,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,MB15,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,
1,MB16,1,,,,,,,,,,,,,,1,1,1,1,,,,,,,
,MB17,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,
,MB18,,,,,1,1,1,,,,,,,,1,1,1,1,,,,,,,
1,MB19,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,
1,MB20,,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,,,,,,,
1,MB21,,,,,1,1,1,1,1,,,,,,,,1,1,,,,,,,
1,MB22,,,,,1,1,1,1,1,1,,,,1,1,1,1,1,,,,,,,
1,MB23,,,,,,,,,,,,,,,,,,,,,,,,,
,MB24,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB25,,,,,,,,,,,,,,,1,1,1,1,,,,,,,
1,MB26,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB27,,,,,1,1,1,1,,,,,,,1,1,1,1,,,,,,,
,MB28,,,,,1,1,1,,,,,,,,,,,1,,,,,,,
1,MB29,,,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,,,,
1,MB30,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,MB31,,,,,,,,,,,,,,,,,,,,,,,,,
1,MB32,,,,,,,,,,,,,,,1,1,1,1,,,,,,,
1,MB33,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,
1,MB34,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,,,
,MB35,,,,,,,,,,,,,,,,,,,,,,,,,
,MB36,,,1,1,1,1,,1,1,1,1,1,,,,,,1,,,,,,,
1,MB37,1,,,,1,1,1,,1,1,,,,,1,1,1,1,,,,,,,
1,MB38,,,,,,1,1,,,1,,,,,,,,,,,,,,,
1,MB39,,,,,1,1,1,1,1,,1,,,1,1,1,1,1,,,,,,,
1,MB40,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,
